Feature,Average Pointwise Mutual Information
presidents,0.9741888180787863
college,0.9741888180787863
taxpayers,0.9741888180787863
washington,0.9741888180787863
7,0.9741888180787863
it,0.9737216941102679
it . </s>,0.9737216941102679
40,0.9737216941102679
no,0.9737216941102679
program,0.9737216941102679
could,0.9737216941102679
nation,0.9719080070948727
raised,0.9710840483737015
families,0.9710840483737015
budget,0.9710840483737015
paid,0.9710840483737015
county,0.9710840483737015
obama,0.9704001946559195
security,0.9704001946559195
says,0.9702765147557662
voted,0.9697447170634301
public,0.9691457625704702
year,0.9689288331861514
first,0.9689288331861514
year . </s>,0.9689288331861514
house,0.9689288331861514
<s> <s> says,0.968655800884068
country,0.9680962040011449
america,0.9673835316134696
would,0.9669633364306971
barack obama,0.9657766414565542
state,0.965758121956813
government,0.9652001946643967
people,0.9622877716150948
?,0.9585559498145897
george bush,0.9585559498145897
iran,0.9585559498145897
free,0.9585559498145897
turnaround,0.9585559498145897
total,0.9585559498145897
not_now,0.9585559498145897
<s> <s> first,0.9585559498145897
shutdown,0.9585559498145897
november,0.9585559498145897
buy,0.9585559498145897
credit,0.9585559498145897
partial,0.9585559498145897
inflation,0.9585559498145897
governor . </s>,0.9585559498145897
industry,0.9585559498145897
says scott walker,0.9585559498145897
rid,0.9585559498145897
crimes,0.9585559498145897
<s> says paul,0.9585559498145897
youre,0.9585559498145897
council,0.9585559498145897
justice,0.9585559498145897
fight,0.9585559498145897
non,0.9585559498145897
reduction,0.9585559498145897
<s> president barack obama,0.9585559498145897
flag,0.9585559498145897
half,0.9585559498145897
000 new jobs,0.9585559498145897
earned,0.9585559498145897
employees,0.9585559498145897
anywhere,0.9585559498145897
way,0.9585559498145897
obama's,0.9585559498145897
<s> <s> said,0.9585559498145897
<s> <s> military,0.9585559498145897
bain,0.9585559498145897
population,0.9585559498145897
zero,0.9585559498145897
creation,0.9585559498145897
think,0.9585559498145897
brown,0.9585559498145897
employers,0.9585559498145897
control . </s>,0.9585559498145897
egypt,0.9585559498145897
offenders,0.9585559498145897
commissioner,0.9585559498145897
us,0.9585559498145897
lowest,0.9585559498145897
used,0.9585559498145897
permit,0.9585559498145897
carry,0.9585559498145897
leaving,0.9585559498145897
<s> <s> atlanta,0.9585559498145897
help,0.9585559498145897
rating,0.9585559498145897
firefighters,0.9585559498145897
k,0.9585559498145897
receiving,0.9585559498145897
groups,0.9585559498145897
senators,0.9585559498145897
union,0.9585559498145897
gov . rick,0.9585559498145897
getting,0.9585559498145897
plus,0.9585559498145897
newt gingrich,0.9585559498145897
guard,0.9585559498145897
<s> says gov,0.9585559498145897
says gov .,0.9585559498145897
waiting,0.9585559498145897
texas . </s>,0.9585559498145897
<s> <s> im,0.9585559498145897
includes,0.9585559498145897
spent,0.9585559498145897
wanted,0.9585559498145897
marijuana,0.9585559498145897
mexican,0.9585559498145897
months . </s>,0.9585559498145897
better,0.9585559498145897
anything,0.9585559498145897
incumbent,0.9585559498145897
e,0.9585559498145897
january,0.9585559498145897
syria,0.9585559498145897
assad,0.9585559498145897
people . </s>,0.9585559498145897
not_change,0.9585559498145897
insurance . </s>,0.9585559498145897
education,0.9585559498145897
according,0.9585559498145897
away,0.9585559498145897
worker,0.9585559498145897
member,0.9585559498145897
bipartisan,0.9585559498145897
nobody,0.9585559498145897
housing,0.9585559498145897
studies,0.9585559498145897
stimulus,0.9585559498145897
claims,0.9585559498145897
<s> says sen,0.9585559498145897
says sen .,0.9585559498145897
drop,0.9585559498145897
richest,0.9585559498145897
senate,0.9585559498145897
<s> <s> john mccain,0.9585559498145897
2014,0.9585559498145897
previous,0.9585559498145897
not_u,0.9585559498145897
not_u . s,0.9585559498145897
<s> <s> put,0.9585559498145897
<s> <s> proposed,0.9585559498145897
2006,0.9585559498145897
common,0.9585559498145897
<s> <s> wisconsins,0.9585559498145897
homeowners,0.9585559498145897
pressure,0.9585559498145897
show,0.9585559498145897
<s> <s> recent,0.9585559498145897
find,0.9585559498145897
full,0.9585559498145897
theyre,0.9585559498145897
2011,0.9585559498145897
profits,0.9585559498145897
established,0.9585559498145897
led,0.9585559498145897
month . </s>,0.9585559498145897
lee,0.9585559498145897
die,0.9585559498145897
spends,0.9585559498145897
not_job,0.9585559498145897
either,0.9585559498145897
polls,0.9585559498145897
known,0.9585559498145897
attorney,0.9585559498145897
shot,0.9585559498145897
<s> weve got,0.9585559498145897
obamacare . </s>,0.9585559498145897
<s> <s> john,0.9585559498145897
families . </s>,0.9585559498145897
lose,0.9585559498145897
<s> <s> bill,0.9585559498145897
. 5 percent,0.9585559498145897
breaks,0.9585559498145897
stay,0.9585559498145897
says president barack obama,0.9585559498145897
took,0.9585559498145896
end,0.9585559498145895
percent . </s>,0.9585559498145895
still,0.9585559498145895
even,0.9585559498145895
system,0.9585559498145895
80,0.9585559498145895
mayor,0.9585559498145895
second,0.9585559498145895
top,0.9585559498145895
proposed,0.9585559498145895
city,0.9585559498145892
office,0.9585559498145892
give,0.9569330846820874
iran . </s>,0.9569330846820874
likely,0.9569330846820874
not_now . </s>,0.9569330846820874
i'm,0.9569330846820874
along,0.9569330846820874
<s> <s> i'm,0.9569330846820874
19,0.9569330846820874
port,0.9569330846820874
center,0.9569330846820874
glenn,0.9569330846820874
grothman,0.9569330846820874
2000,0.9569330846820874
due,0.9569330846820874
government shutdown .,0.9569330846820874
shutdown . </s>,0.9569330846820874
<s> <s> affordable,0.9569330846820874
<s> affordable care,0.9569330846820874
requirement,0.9569330846820874
provisions,0.9569330846820874
kind,0.9569330846820874
d,0.9569330846820874
left,0.9569330846820874
last year .,0.9569330846820874
men,0.9569330846820874
john,0.9569330846820874
kitzhaber,0.9569330846820874
elected,0.9569330846820874
<s> <s> women,0.9569330846820874
parenthood,0.9569330846820874
<s> says mitt,0.9569330846820874
says mitt romney,0.9569330846820874
is,0.9569330846820874
<s> <s> hate,0.9569330846820874
<s> hate crimes,0.9569330846820874
34,0.9569330846820874
began,0.9569330846820874
45 percent .,0.9569330846820874
not_budget,0.9569330846820874
not_good,0.9569330846820874
come,0.9569330846820874
several,0.9569330846820874
not_able,0.9569330846820874
austin,0.9569330846820874
founded,0.9569330846820874
<s> <s> austin,0.9569330846820874
case,0.9569330846820874
area,0.9569330846820874
decided,0.9569330846820874
south,0.9569330846820874
law . </s>,0.9569330846820874
marco,0.9569330846820874
<s> says marco,0.9569330846820874
says marco rubio,0.9569330846820874
responsible,0.9569330846820874
failed,0.9569330846820874
solar,0.9569330846820874
company,0.9569330846820874
<s> <s> rep,0.9569330846820874
<s> rep .,0.9569330846820874
gov,0.9569330846820874
<s> says ohio,0.9569330846820874
director,0.9569330846820874
cannot,0.9569330846820874
not_instead,0.9569330846820874
hispanic,0.9569330846820874
illegally,0.9569330846820874
illegally . </s>,0.9569330846820874
deleted,0.9569330846820874
individual,0.9569330846820874
maggie,0.9569330846820874
rent,0.9569330846820874
water . </s>,0.9569330846820874
cents,0.9569330846820874
build,0.9569330846820874
he's,0.9569330846820874
<s> <s> sen,0.9569330846820874
<s> sen .,0.9569330846820874
out,0.9569330846820874
out . </s>,0.9569330846820874
classes,0.9569330846820874
<s> <s> 2,0.9569330846820874
economy . </s>,0.9569330846820874
military,0.9569330846820874
sanctuary,0.9569330846820874
city . </s>,0.9569330846820874
chance,0.9569330846820874
man,0.9569330846820874
warrant,0.9569330846820874
contracts,0.9569330846820874
foreclosure,0.9569330846820874
driving,0.9569330846820874
charlie,0.9569330846820874
crist,0.9569330846820874
advantage,0.9569330846820874
program . </s>,0.9569330846820874
europe,0.9569330846820874
deny,0.9569330846820874
<s> <s> amount,0.9569330846820874
keep,0.9569330846820874
offenders . </s>,0.9569330846820874
growing,0.9569330846820874
nation . </s>,0.9569330846820874
lebanon,0.9569330846820874
<s> says david,0.9569330846820874
? </s> </s>,0.9569330846820874
spend,0.9569330846820874
1968,0.9569330846820874
died,0.9569330846820874
countrys history .,0.9569330846820874
<s> <s> florida,0.9569330846820874
streetcar,0.9569330846820874
raising,0.9569330846820874
met,0.9569330846820874
terrorism,0.9569330846820874
terrorism . </s>,0.9569330846820874
opening,0.9569330846820874
terror,0.9569330846820874
not_get,0.9569330846820874
pension,0.9569330846820874
teachers firefighters police,0.9569330846820874
firefighters police officers,0.9569330846820874
98,0.9569330846820874
thirds,0.9569330846820874
wisconsinites,0.9569330846820874
not_current,0.9569330846820874
reforms,0.9569330846820874
per year .,0.9569330846820874
<s> <s> irs,0.9569330846820874
promised,0.9569330846820874
marry,0.9569330846820874
s . </s>,0.9569330846820874
florida's,0.9569330846820874
victims,0.9569330846820874
now,0.9569330846820874
now . </s>,0.9569330846820874
courts,0.9569330846820874
guns,0.9569330846820874
told,0.9569330846820874
offered,0.9569330846820874
<s> <s> already,0.9569330846820874
close,0.9569330846820874
bay,0.9569330846820874
terrorists,0.9569330846820874
refugees,0.9569330846820874
immigrants,0.9569330846820874
support . </s>,0.9569330846820874
amnesty,0.9569330846820874
<s> <s> newt gingrich,0.9569330846820874
disability,0.9569330846820874
<s> <s> rhode,0.9569330846820874
<s> rhode island,0.9569330846820874
!,0.9569330846820874
street,0.9569330846820874
taken,0.9569330846820874
. rick perry,0.9569330846820874
42,0.9569330846820874
expand,0.9569330846820874
profit,0.9569330846820874
there,0.9569330846820874
there . </s>,0.9569330846820874
whos,0.9569330846820874
ponzi,0.9569330846820874
policies,0.9569330846820874
referring,0.9569330846820874
north,0.9569330846820874
carolinas,0.9569330846820874
electric,0.9569330846820874
china,0.9569330846820874
fire,0.9569330846820874
library,0.9569330846820874
years ago .,0.9569330846820874
ago . </s>,0.9569330846820874
received,0.9569330846820874
redskins,0.9569330846820874
president united states,0.9569330846820874
action,0.9569330846820874
marriage,0.9569330846820874
relationships,0.9569330846820874
judges,0.9569330846820874
in,0.9569330846820874
world combined .,0.9569330846820874
<s> <s> social,0.9569330846820874
<s> social security,0.9569330846820874
voters,0.9569330846820874
forces,0.9569330846820874
<s> <s> marco,0.9569330846820874
<s> marco rubio,0.9569330846820874
marco rubio voted,0.9569330846820874
not_climate,0.9569330846820874
not_real,0.9569330846820874
<s> not not_one,0.9569330846820874
top 1 percent,0.9569330846820874
terms,0.9569330846820874
not_state,0.9569330846820874
terrorist,0.9569330846820874
tax increase american,0.9569330846820874
increase american history,0.9569330846820874
american history .,0.9569330846820874
not_seen,0.9569330846820874
barrett,0.9569330846820874
mayor tom barrett,0.9569330846820874
assembly,0.9569330846820874
investigation,0.9569330846820874
clear,0.9569330846820874
hed,0.9569330846820874
throughout,0.9569330846820874
not_four,0.9569330846820874
nation world .,0.9569330846820874
giving,0.9569330846820874
candidates,0.9569330846820874
gdp,0.9569330846820874
miles,0.9569330846820874
photo,0.9569330846820874
pearl,0.9569330846820874
costing,0.9569330846820874
estimated,0.9569330846820874
it's,0.9569330846820874
<s> says hillary clinton,0.9569330846820874
extremist,0.9569330846820874
sherrod,0.9569330846820874
sen . sherrod,0.9569330846820874
. sherrod brown,0.9569330846820874
rejected,0.9569330846820874
reduce,0.9569330846820874
two years .,0.9569330846820874
buffett,0.9569330846820874
me,0.9569330846820874
me . </s>,0.9569330846820874
allen,0.9569330846820874
not_year,0.9569330846820874
not_would,0.9569330846820874
enforcement,0.9569330846820874
tenure,0.9569330846820874
crisis,0.9569330846820874
hypocrisy,0.9569330846820874
<s> <s> top,0.9569330846820874
last four years,0.9569330846820874
portman,0.9569330846820874
<s> <s> washington,0.9569330846820874
americans . </s>,0.9569330846820874
move,0.9569330846820874
predatory,0.9569330846820874
2007,0.9569330846820874
000 jobs .,0.9569330846820874
cbo,0.9569330846820874
congressional,0.9569330846820874
fiscal,0.9569330846820874
<s> <s> number,0.9569330846820874
homicides,0.9569330846820874
not_abortion,0.9569330846820874
44,0.9569330846820874
projects,0.9569330846820874
partner,0.9569330846820874
account,0.9569330846820874
health care bill,0.9569330846820874
place,0.9569330846820874
oppose,0.9569330846820874
<s> american people,0.9569330846820874
saying,0.9569330846820874
gun . </s>,0.9569330846820874
ryans,0.9569330846820874
connie mack,0.9569330846820874
<s> <s> year,0.9569330846820874
high school cannot,0.9569330846820874
programs,0.9569330846820874
mid,0.9569330846820874
wiped,0.9569330846820874
conditions,0.9569330846820874
partial birth abortion,0.9569330846820874
<s> every year,0.9569330846820874
behavior,0.9569330846820874
<s> <s> house,0.9569330846820874
entirely,0.9569330846820874
arkansas,0.9569330846820874
add,0.9569330846820874
not_health,0.9569330846820874
despite,0.9569330846820874
board,0.9569330846820874
remove,0.9569330846820874
standards,0.9569330846820874
bernie,0.9569330846820874
13,0.9569330846820874
gets,0.9569330846820874
re,0.9569330846820874
project,0.9569330846820874
camp,0.9569330846820874
civil,0.9569330846820874
civil war .,0.9569330846820874
war . </s>,0.9569330846820874
delayed,0.9569330846820874
opposition,0.9569330846820874
confederate,0.9569330846820874
battle,0.9569330846820874
confederate battle flag,0.9569330846820874
shes,0.9569330846820874
not_creation,0.9569330846820874
<s> <s> republican,0.9569330846820874
sold,0.9569330846820874
gotten,0.9569330846820874
worse,0.9569330846820874
efforts,0.9569330846820874
cities . </s>,0.9569330846820874
though,0.9569330846820874
issue . </s>,0.9569330846820874
offshore,0.9569330846820874
expanding,0.9569330846820874
37,0.9569330846820874
roughly,0.9569330846820874
history united states,0.9569330846820874
27,0.9569330846820874
current,0.9569330846820874
al,0.9569330846820874
felony,0.9569330846820874
hired,0.9569330846820874
convicted,0.9569330846820874
balance,0.9569330846820874
labor,0.9569330846820874
need . </s>,0.9569330846820874
measures,0.9569330846820874
stores,0.9569330846820874
press,0.9569330846820874
border pat rol,0.9569330846820874
plant,0.9569330846820874
donald,0.9569330846820874
may,0.9569330846820874
<s> <s> unemployment,0.9569330846820874
core,0.9569330846820874
shootings,0.9569330846820874
federal crime .,0.9569330846820874
crime . </s>,0.9569330846820874
miami,0.9569330846820874
earmarks,0.9569330846820874
real,0.9569330846820874
borrow,0.9569330846820874
campaign . </s>,0.9569330846820874
not_want,0.9569330846820874
constitutional,0.9569330846820874
drug,0.9569330846820874
asking,0.9569330846820874
intended,0.9569330846820874
park,0.9569330846820874
sexual,0.9569330846820874
. 6 percent,0.9569330846820874
says president obama,0.9569330846820874
aids,0.9569330846820874
introduced,0.9569330846820874
girls,0.9569330846820874
plan . </s>,0.9569330846820874
completely,0.9569330846820874
region,0.9569330846820874
reid,0.9569330846820874
allowed,0.9569330846820874
fails,0.9569330846820874
charge,0.9569330846820874
exchange,0.9569330846820874
resulted,0.9569330846820874
theres,0.9569330846820874
racked,0.9569330846820874
59,0.9569330846820874
live,0.9569330846820874
districts,0.9569330846820874
florida . </s>,0.9569330846820874
campaigns,0.9569330846820874
positions,0.9569330846820874
first time ever,0.9569330846820874
critical,0.9569330846820874
grocery,0.9569330846820874
pork,0.9569330846820874
<s> mitt romneys,0.9569330846820874
special tax breaks,0.9569330846820874
increase . </s>,0.9569330846820874
<s> <s> minimum,0.9569330846820874
flying,0.9569330846820874
kendrick,0.9569330846820874
meek,0.9569330846820874
dead,0.9569330846820874
<s> <s> wisconsin,0.9569330846820874
rise,0.9569330846820874
funded,0.9569330846820874
needs,0.9569330846820874
politics,0.9569330846820874
s . senate,0.9569330846820874
earth,0.9569330846820874
unions,0.9569330846820874
financing,0.9569330846820874
embryonic,0.9569330846820874
stem,0.9569330846820874
embryonic stem cell,0.9569330846820874
stem cell research,0.9569330846820874
death,0.9569330846820874
yes,0.9569330846820874
not_voters,0.9569330846820874
<s> <s> ohio,0.9569330846820874
language,0.9569330846820874
transportation,0.9569330846820874
<s> <s> no,0.9569330846820874
executive,0.9569330846820874
wisconsin . </s>,0.9569330846820874
billion . </s>,0.9569330846820874
not_additional,0.9569330846820874
1980,0.9569330846820874
triple,0.9569330846820874
newark,0.9569330846820874
federal income taxes,0.9569330846820874
competitive,0.9569330846820874
session,0.9569330846820874
not_nuclear,0.9569330846820874
whole,0.9569330846820874
capita,0.9569330846820874
<s> <s> 2010,0.9569330846820874
<s> says last,0.9569330846820874
bill clinton,0.9569330846820874
richard,0.9569330846820874
couple,0.9569330846820874
colleges,0.9569330846820874
haiti,0.9569330846820874
went,0.9569330846820872
<s> <s> united,0.9569330846820872
world . </s>,0.9569330846820872
scott,0.9569330846820872
residents,0.9569330846820872
tuition,0.9569330846820872
sen,0.9569330846820872
home,0.9569330846820872
put,0.9569330846820872
20,0.9569330846820872
plan,0.9569330846820872
much,0.9569330846820872
im,0.9569330846820872
family,0.9569330846820872
500,0.9569330846820872
8,0.9569330846820872
3,0.9569330846820872
support,0.9569330846820872
border,0.9569330846820872
foreign,0.9569330846820872
nations,0.9569330846820872
see,0.9569330846820872
<s> <s> people,0.9569330846820872
immigrants . </s>,0.9569330846820872
make,0.9569330846820872
party,0.9569330846820872
<s> says texas,0.9569330846820872
wisconsin,0.9569330846820872
legislature,0.9569330846820872
world,0.9482906836413518
rick,0.946104100208131
unemployment,0.946104100208131
today,0.946104100208131
work,0.942754251533376
per,0.942754251533376
fund,0.942754251533376
republicans,0.942754251533376
women,0.939719725735338
right,0.939719725735338
texas,0.9393278982873398
times,0.937004996202261
4,0.937004996202261
sector,0.937004996202261
candidate,0.937004996202261
take,0.937004996202261
. . .,0.937004996202261
got,0.937004996202261
taxes,0.9370049962022606
s,0.9347474857766969
administration,0.933396148765878
jobs,0.9333764535398109
000,0.9330712623638998
federal,0.9322758373508842
health,0.9318739273558561
said,0.9310384778808947
didnt,0.9281718335878306
third,0.9250018377962161
5,0.9250018377962161
cost,0.9250018377962161
percent,0.9250018377962161
history . </s>,0.9250018377962161
control,0.9250018377962161
teachers,0.9250018377962161
called,0.9250018377962161
2010,0.9250018377962161
revenue,0.9250018377962161
general,0.9250018377962161
<s> <s> one,0.9250018377962161
costs,0.9200978688090624
act,0.9200978688090624
rep,0.9200978688090624
25,0.9200978688090624
five,0.9200978688090624
campaign,0.9200978688090624
without,0.9200978688090624
major,0.9200978688090624
country . </s>,0.9200978688090624
. s .,0.9127710430874696
national,0.9125042559770731
growth,0.9125042559770731
years . </s>,0.9125042559770731
1,0.9125042559770729
u,0.9096694828604545
million,0.907870952266127
private,0.9061237190303244
republican,0.9061237190303244
one,0.906123239267015
political,0.9061232392670147
supreme,0.9061232392670147
say,0.9061232392670147
! </s> </s>,0.9061232392670147
energy,0.9061232392670147
u . s,0.8945812330076983
made,0.8866488930319364
term,0.8866488930319361
term . </s>,0.8866488930319361
share,0.8866488930319361
<s> first time,0.8866488930319361
24,0.8866488930319361
opposed,0.8866488930319361
. ' </s>,0.8866488930319361
' </s> </s>,0.8866488930319361
spending,0.8866488930319361
water,0.8866488930319361
best,0.8866488930319361
cutting,0.8866488930319361
<s> says scott,0.8866488930319361
planned,0.8866488930319361
paul,0.8866488930319361
mark,0.8866488930319361
size,0.8866488930319361
permanent,0.8866488930319361
trillion,0.8866488930319361
african,0.8866488930319361
36,0.8866488930319361
deficit,0.8866488930319361
2005,0.8866488930319361
800,0.8866488930319361
georgia,0.8866488930319361
capital,0.8866488930319361
savings,0.8866488930319361
point,0.8866488930319361
week,0.8866488930319361
chris,0.8866488930319361
countries,0.8866488930319361
crime,0.8866488930319361
<s> <s> know,0.8866488930319361
student,0.8866488930319361
countrys,0.8866488930319361
senator,0.8866488930319361
longer,0.8866488930319361
name,0.8866488930319361
creating,0.8866488930319361
<s> president obama,0.8866488930319361
47,0.8866488930319361
shut,0.8866488930319361
speaker,0.8866488930319361
<s> <s> democrats,0.8866488930319361
increased,0.8866488930319361
rest,0.8866488930319361
came,0.8866488930319361
else,0.8866488930319361
receive,0.8866488930319361
many,0.8866488930319361
wages,0.8866488930319361
taking,0.8866488930319361
tom,0.8866488930319361
not_raise,0.8866488930319361
21,0.8866488930319361
president . </s>,0.8866488930319361
<s> <s> american,0.8866488930319361
need,0.8866488930319361
900,0.8866488930319361
2012 . </s>,0.8866488930319361
supported,0.8866488930319361
90,0.8866488930319361
violence,0.8866488930319361
<s> <s> nearly,0.8866488930319361
result,0.8866488930319361
150,0.8866488930319361
400,0.8866488930319361
companies,0.8866488930319361
down,0.8866488930319361
down . </s>,0.8866488930319361
14,0.8866488930319361
issue,0.8866488930319361
<s> <s> weve,0.8866488930319361
alone,0.8866488930319361
governor,0.886648893031936
not_years,0.8768370480196909
worked,0.8768370480196909
health care .,0.8768370480196909
tax . </s>,0.8768370480196909
members,0.8768370480196909
<s> says u,0.8768370480196909
says u .,0.8768370480196909
defense,0.8768370480196909
david,0.8768370480196909
use,0.8768370480196909
york,0.8768370480196909
police,0.8768370480196909
makes,0.8768370480196909
cant,0.8768370480196909
obamas,0.8768370480196909
serving,0.8768370480196909
check,0.8768370480196909
gay,0.8768370480196909
bring,0.8768370480196909
research,0.8768370480196909
combined . </s>,0.8768370480196909
well,0.8768370480196909
<s> <s> not,0.8768370480196909
record,0.8768370480196909
<s> <s> state,0.8768370480196909
property,0.8768370480196909
twice,0.8768370480196909
thousands,0.8768370480196909
christmas,0.8768370480196909
repeatedly,0.8768370480196909
want,0.8768370480196909
good,0.8768370480196909
get,0.8768370480196904
last,0.8603344657913528
12,0.8603344657913528
less,0.8603344657913528
schools,0.8603344657913528
50,0.8587463100054114
2,0.8550664060548255
businesses,0.8471760314223451
united states .,0.8471760314223451
jersey,0.8471760314223451
income,0.8471760314223451
reform,0.8465679468939067
change,0.8465679468939067
massachusetts,0.8465679468939067
court,0.8465679468939067
<s> <s> barack obama,0.8465679468939067
dollars,0.8465679468939067
rhode,0.8465679468939067
island,0.8465679468939067
time,0.8415527747542462
10,0.8393071650404011
history,0.8340768166598633
lost,0.8340768166598633
school,0.8340768166598633
wants,0.8312738057734826
care,0.8312738057734823
john mccain,0.8081757215020421
land,0.8081757215020421
',0.8081757215020421
70,0.8081757215020421
votes,0.8081757215020421
atlanta,0.8081757215020421
6,0.8081757215020421
arizona,0.8081757215020421
states . </s>,0.8081757215020421
birth,0.8081757215020421
democratic,0.8081757215020421
amount,0.8081757215020421
christie,0.8081757215020421
millions,0.8081757215020421
minimum,0.8081757215020421
investment,0.8081757215020421
million . </s>,0.8081757215020421
pace,0.8081757215020421
seven,0.8081757215020421
tried,0.8081757215020421
30,0.8081757215020421
lot,0.8081757215020421
male,0.8081757215020421
largest,0.8081757215020421
drilling,0.8081757215020421
jobs . </s>,0.8081757215020421
students,0.8081757215020421
ban,0.8081757215020421
child,0.8081757215020421
back,0.8081757215020421
paying,0.8081757215020421
2009,0.8081757215020421
level,0.8081757215020421
least,0.8081757215020421
since,0.808175721502042
american,0.8081757215020419
demand,0.7853852181072726
mandate,0.7853852181072726
health care reform,0.7853852181072726
jim,0.7853852181072726
stage,0.7853852181072726
not_people,0.7853852181072726
ron,0.7853852181072726
making,0.7853852181072726
care . </s>,0.7853852181072726
hate,0.7853852181072726
muslims,0.7853852181072726
never,0.7853852181072726
45,0.7853852181072726
not_going,0.7853852181072726
business,0.7853852181072726
cases,0.7853852181072726
s . supreme,0.7853852181072726
. supreme court,0.7853852181072726
loan,0.7853852181072726
america . </s>,0.7853852181072726
scheme,0.7853852181072726
wall,0.7853852181072726
registered,0.7853852181072726
providence,0.7853852181072726
media,0.7853852181072726
power,0.7853852181072726
construction,0.7853852181072726
whether,0.7853852181072726
<s> <s> whether,0.7853852181072726
let,0.7853852181072726
benghazi,0.7853852181072726
criminal,0.7853852181072726
fastest,0.7853852181072726
increases,0.7853852181072726
ronald reagan,0.7853852181072726
sent,0.7853852181072726
troops,0.7853852181072726
create,0.7853852181072726
congress,0.7853852181072726
<s> <s> say,0.7853852181072726
presidency,0.7853852181072726
presidency . </s>,0.7853852181072726
domestic,0.7853852181072726
250,0.7853852181072726
private sector .,0.7853852181072726
send,0.7853852181072726
s . mexico,0.7853852181072726
. mexico border,0.7853852181072726
refused,0.7853852181072726
<s> <s> milwaukee,0.7853852181072726
prices,0.7853852181072726
cash,0.7853852181072726
<s> <s> david,0.7853852181072726
income tax .,0.7853852181072726
killed,0.7853852181072726
wasnt,0.7853852181072726
open,0.7853852181072726
healthcare,0.7853852181072726
id,0.7853852181072726
columbia,0.7853852181072726
entire,0.7853852181072726
brought,0.7853852181072726
money . </s>,0.7853852181072726
kill,0.7853852181072726
<s> <s> spend,0.7853852181072726
part,0.7853852181072726
marriage . </s>,0.7853852181072726
losing,0.7853852181072726
<s> house representatives,0.7853852181072726
international,0.7853852181072726
15,0.7853852181072726
change . </s>,0.7853852181072726
cell,0.7853852181072726
negotiations,0.7853852181072726
light,0.7853852181072726
white,0.7853852181072726
black,0.7853852181072726
congressman,0.7853852181072726
option,0.7853852181072726
medical,0.7853852181072726
amendment,0.7853852181072726
legislative,0.7853852181072726
employee,0.7853852181072726
run,0.7853852181072726
not_tax,0.7853852181072726
gives,0.7853852181072726
donors,0.7853852181072726
presidential,0.7853852181072726
information,0.7853852181072726
means,0.7853852181072726
mitt,0.7853852181072725
increase,0.7853852181072725
highest,0.7703477168908294
months,0.7703477168908294
war,0.7703477168908294
department,0.7703477168908294
dont,0.7401574829909267
pat,0.7401574829909267
start,0.733979624986323
<s> <s> hillary clinton,0.733979624986323
nearly,0.733979624986323
actually,0.733979624986323
<s> <s> federal,0.733979624986323
every,0.733979624986323
undocumented,0.733979624986323
eight,0.733979624986323
donald trump,0.733979624986323
cities,0.733979624986323
different,0.733979624986323
bills,0.733979624986323
lower,0.733979624986323
oil,0.733979624986323
living,0.733979624986323
recent,0.733979624986323
month,0.733979624986323
working,0.733979624986323
<s> <s> u,0.6960825823401121
<s> u .,0.6960825823401121
